D_loss,G_loss
0.005371,8.551
0.008737,8.126
0.006365,8.366
0.007493,8.338
0.01452,8.245
0.01509,8.05
0.01957,8.461
0.01207,8.556
0.006283,8.753
0.01012,8.691
0.009661,9.083
0.0172,8.688
0.01083,8.628
0.005594,8.498
0.01238,8.562
0.0124,7.762
0.009122,8.277
0.009405,8.287
0.01105,8.223
0.01168,8.322
0.007349,8.201
0.009125,8.29
0.01256,8.601
0.005305,8.787
0.01061,8.331
0.02835,8.416
0.007797,8.577
0.008182,8.431
0.009266,8.314
0.02491,8.617
0.01533,8.942
0.02865,8.98
0.01195,9.368
0.009929,9.431
0.01074,9.244
0.009914,9.794
0.008277,8.857
0.0259,9.697
0.01344,9.224
0.02064,8.841
0.006375,8.731
0.01467,8.891
0.01299,9.15
0.0169,8.982
0.01204,9.693
0.01107,9.488
0.005903,10.17
0.02323,10.15
0.01388,9.661
0.01369,9.774
0.02371,8.978
0.01541,9.045
0.01479,9.036
0.008932,8.72
0.01871,8.634
0.04639,8.382
0.03048,8.806
0.01467,8.633
0.01449,9.269
0.03161,9.28
0.01035,9.419
0.01224,9.454
0.007984,9.272
0.01268,9.487
0.006232,9.133
0.01554,9.039
0.0388,8.739
0.01169,8.367
0.02666,8.813
0.01458,8.347
0.01646,8.636
0.01395,8.399
0.01458,9.083
0.01594,9.228
0.02176,8.665
0.008768,8.831
0.007732,8.742
0.02046,9.057
0.02241,8.701
0.01482,8.785
0.01599,8.934
0.05203,9.088
0.02647,9.202
0.0133,9.593
0.01013,9.657
0.01164,9.66
0.0112,9.554
0.01149,9.246
0.01597,8.959
0.02245,8.756
0.02842,8.107
0.03003,8.78
0.03413,8.988
0.01227,8.589
0.02315,8.674
0.02454,8.632
0.01425,9.179
0.01014,9.463
0.01313,8.865
0.01307,9.161
0.01198,8.697
0.0155,8.918
0.01833,8.78
0.01904,8.621
0.01189,8.638
0.008791,8.561
0.01181,8.131
0.0227,8.11
0.008308,8.431
0.009684,8.492
0.01425,8.648
0.02509,8.714
0.008879,9.058
0.01016,8.7
0.01085,9.054
0.01662,9.064
0.009591,9.102
0.01466,9.142
0.02179,8.799
0.02063,8.983
0.02132,8.465
0.02692,8.309
0.02232,8.682
0.02505,8.804
0.01717,8.773
0.02156,8.552
0.007826,9.35
0.023,9
0.0201,9.257
0.01549,9.279
0.03069,9.221
0.02597,9.389
0.01733,8.998
0.01471,8.744
0.01275,8.834
0.01586,8.657
0.0307,8.64
0.02172,8.379
0.01479,7.957
0.01874,8.288
0.01855,7.685
0.01755,7.681
0.01336,7.683
0.017,8.124
0.01883,8.512
0.01256,8.571
0.01575,8.132
0.019,8.613
0.0111,8.31
0.01253,8.347
0.01096,8.584
0.009445,8.552
0.008325,8.638
0.008276,8.412
0.009922,8.623
0.007743,8.368
0.01233,8.247
0.01048,8.456
0.01057,8.142
0.007365,8.237
0.01073,7.448
0.007664,7.896
0.01093,7.56
0.01025,7.779
0.009856,7.813
0.007283,8.171
0.008362,7.654
0.009562,7.78
0.01075,7.523
0.01313,7.589
0.01098,7.531
0.01108,7.558
0.01136,7.797
0.009795,7.422
0.01023,7.644
0.0116,7.337
0.01096,7.237
0.009623,7.167
0.01424,6.839
0.01162,7.396
0.01275,7.313
0.009264,7.226
0.0105,7.358
0.0138,7.034
0.01052,7.095
0.01206,7.191
0.01718,7.184
0.01671,7.308
0.01054,7.482
0.0127,7.074
0.009953,7.285
0.01002,7.027
0.01066,6.877
0.01123,7.134
0.01023,6.971
0.01203,7.096
0.008373,7.247
0.01218,7.194
0.009181,7.358
0.01096,7.606
0.009672,7.58
0.01029,7.321
0.01979,7.623
0.01124,7.37
0.01341,7.295
0.009365,7.564
0.0145,7.171
0.01001,7.327
0.01082,7.325
0.009515,7.516
0.01141,7.594
0.008477,7.487
0.01083,7.368
0.01097,7.202
0.01234,7.415
0.01221,7.275
0.01299,7.402
0.01148,7.199
0.01593,7.134
0.01489,7.406
0.01326,7.602
0.01578,7.287
0.01733,7.632
0.01346,7.523
0.008677,7.401
0.006428,7.307
0.01703,7.288
0.01265,6.997
0.01815,7.333
0.02137,7.089
0.0181,7.187
0.02833,7.193
0.011,7.084
0.02493,7.557
0.02308,7.784
0.01541,7.402
0.02306,6.973
0.01716,6.857
0.01516,6.761
0.03068,7.099
0.02294,7.579
0.01546,6.911
0.01852,7.25
0.01807,7.285
0.032,6.972
0.029,7.159
0.02322,7.194
0.02395,7.255
0.02272,7.391
0.01273,7.142
0.02158,7.001
0.02053,7.199
0.03102,6.716
0.034,6.821
0.02724,7.082
0.02937,7.392
0.02558,7.637
0.02638,7.75
0.02272,7.284
0.02223,7.105
0.02377,7.179
0.02529,6.943
0.03018,6.558
0.02731,6.208
0.02668,6.544
0.02775,6.488
0.02927,6.512
0.03233,6.57
0.0203,7.251
0.02672,7.392
0.02621,7.471
0.02801,7.447
0.03022,6.987
0.03214,6.336
0.0321,5.62
0.02503,5.416
0.02612,6.161
0.03261,6.053
0.02459,6.7
0.02128,7.049
0.02758,7.376
0.02589,7.246
0.02218,6.664
0.0313,6.257
0.01603,5.788
0.02363,5.454
0.01924,5.29
0.02021,5.187
0.02049,5.605
0.01888,5.855
0.01544,6.494
0.01782,6.766
0.02144,6.633
0.03578,6.217
0.01664,5.727
0.01454,5.391
0.01561,5.253
0.01625,5.209
0.01568,5.418
0.01414,5.974
0.01878,6.042
0.01294,6.343
0.02058,6.472
0.01123,6.166
0.0158,6.12
0.02202,5.807
0.01736,5.553
0.02466,5.494
0.01718,5.315
0.01803,5.433
0.01755,5.754
0.01709,5.978
0.01852,6.159
0.01974,6.129
0.02534,6.017
0.03034,5.602
0.02545,5.063
0.02746,4.98
0.02621,5.153
0.03559,5.321
0.02936,5.609
0.02466,5.622
0.0256,5.805
0.03736,5.674
0.03442,5.171
0.03108,4.994
0.02601,5.144
0.02828,5.438
0.03127,5.39
0.04101,5.568
0.03909,5.305
0.02637,5.463
0.03734,5.39
0.03189,5.192
0.03309,5.55
0.03409,5.573
0.03557,5.49
0.03718,5.37
0.03986,5.088
0.04376,5.053
0.0433,4.96
0.03982,5.078
0.03212,5.431
0.0308,5.437
0.04031,5.549
0.03979,5.31
0.02976,5.28
0.03702,5.009
0.03164,5.174
0.03607,5.351
0.03749,5.662
0.0285,5.668
0.03715,5.291
0.0352,5.35
0.03207,5.137
0.03582,5.039
0.03543,5.271
0.03111,5.299
0.03809,5.794
0.0294,5.691
0.04378,5.393
0.0405,5.07
0.03027,4.912
0.03543,5.118
0.03424,5.675
0.03393,5.957
0.03853,5.598
0.06222,5.195
0.03121,4.775
0.03674,4.768
0.05112,5.207
0.02952,5.885
0.02193,6.263
0.02864,6.793
0.04144,6.351
0.02048,5.994
0.03696,5.28
0.03501,4.78
0.04472,4.784
0.03496,5.282
0.04195,5.666
0.03887,5.792
0.02153,5.922
0.03526,5.981
0.0338,5.669
0.02818,5.49
0.03426,5.444
0.02935,5.526
0.02493,5.721
0.03503,5.832
0.03693,5.824
0.03835,5.651
0.02689,5.512
0.03287,5.689
0.02897,5.753
0.03244,5.776
0.03866,5.816
0.04186,5.798
0.02867,5.779
0.03466,5.488
0.04027,5.705
0.04155,5.377
0.04509,5.45
0.04171,5.29
0.03699,5.785
0.03494,5.954
0.03967,6.08
0.03089,5.939
0.04061,6.122
0.04361,5.754
0.04877,5.379
0.05183,5.538
0.04211,5.647
0.03505,6.022
0.03585,6.496
0.0385,6.5
0.03327,6.045
0.02646,5.941
0.03541,5.844
0.03516,5.797
0.02963,6.027
0.04027,5.499
0.0395,5.61
0.0294,6.117
0.0297,5.972
0.0275,6.463
0.02815,6.956
0.03894,6.775
0.03389,6.749
0.04228,6.561
0.0332,6.227
0.05315,5.439
0.04352,5.653
0.04894,5.434
0.04395,5.364
0.04517,5.596
0.06073,5.727
0.05691,5.879
0.05382,5.783
0.05872,5.124
0.05602,5.272
0.04803,5.97
0.06844,6.148
0.05341,6.115
0.04085,6.351
0.05738,6.399
0.02566,5.889
0.03683,5.736
0.06145,5.41
0.04803,5.376
0.03933,5.52
0.04467,5.926
0.04162,6.322
0.03488,6.252
0.04541,6.1
0.03259,5.892
0.04957,5.491
0.0314,5.242
0.02875,5.056
0.02938,5.183
0.04245,5.825
0.02446,6.189
0.04277,5.884
0.01655,6.406
0.03427,6.176
0.02697,6.326
0.02816,5.998
0.02554,5.86
0.03154,5.955
0.0431,5.67
0.03977,5.094
0.03542,5.13
0.03204,5.266
0.03265,5.738
0.05379,6.308
0.06006,6.163
0.05312,6.018
0.0329,5.854
0.04848,5.623
0.03356,5.216
0.02663,5.316
0.0298,5.727
0.0317,5.634
0.04114,5.963
0.05906,5.922
0.02879,5.816
0.06374,5.535
0.03948,5.683
0.05982,5.486
0.03265,5.716
0.04825,5.738
0.0464,5.706
0.04359,5.695
0.02912,5.861
0.02216,6.11
0.03304,6.163
0.07737,5.966
0.03735,5.402
0.05893,5.337
0.05562,5.314
0.03293,5.86
0.02917,6.586
0.0224,7.124
0.03505,7.212
0.04752,7.323
0.03978,6.854
0.04575,6.039
0.05711,5.406
0.0537,5.25
0.04328,5.841
0.02784,6.302
0.02173,6.971
0.03932,7.198
0.03335,7.262
0.01687,7.008
0.04756,6.505
0.02634,5.968
0.02678,5.558
0.03526,5.281
0.03525,5.638
0.03077,6.2
0.02588,6.492
0.02792,6.941
0.04284,6.721
0.05943,6.079
0.06195,5.492
0.04594,5.062
0.04304,5.442
0.03633,5.684
0.04525,6.328
0.03072,6.764
0.0281,6.693
0.02443,6.554
